lea_id,district_name,urban_centric_locale,number_of_schools_in_district,enrollment,pre_k_teachers,kindergarten_teachers,elementary_teachers,secondary_teachers,total_teachers,student_teacher_ratio,instructional_aides,guidance_counselors,student_guidance_counselor_ratio,librarian_total,student_librarian_ratio,total_staff,district_expense_total,expenses_for_instruction,salaries_total,salaries_instruction,instruction_salary_percent_of_total,per_student_expenditure,per_teacher_salary_expenses
2600007,Harbor Beach Community Schools,Rural (remote,3,475,0,2,11,15,33,14.39,8,0,,0,,71,7932000,3793000,2751000,2003000,72.81,16698.95,60696.97
2600010,Sigel Township S/D #3F,Rural (distant),1,20,0,0,1,0,2,10.0,2,0,,0,,4,392000,314000,191000,179000,93.72,19600.0,89500.0
2600011,Sigel Township S/D #4F,Rural (distant),1,31,0,0,2,0,2,15.5,2,0,,0,,4,276000,234000,148000,144000,97.3,8903.23,72000.0
2600012,St. Ignace Area Schools,Rural (fringe),3,511,0,2,11,13,28,18.25,8,1,511.0,0,,56,6474000,3420000,2539000,1745000,68.73,12669.28,62321.43
2600013,Marquette Area Public Schools,Town (remote),7,3282,0,15,62,92,197,16.66,66,6,547.0,0,,396,36013000,20871000,17060000,11562000,67.77,10972.88,58690.36
2600014,Ewen-Trout Creek Consolidated School District,Rural (remote,1,191,0,1,5,6,15,12.73,4,0,,0,,30,2726000,1572000,1131000,858000,75.86,14272.25,57200.0
2600015,Wayne-Westland Community School District,Large Suburb,19,10863,15,37,202,192,604,17.99,167,15,724.2,3,3621.0,1429,141962000,72903000,67347000,39094000,58.05,13068.4,64725.17
2600016,Crestwood School District,Large Suburb,6,3966,4,9,74,111,224,17.71,31,5,793.2,0,,418,63128000,32534000,22664000,17188000,75.84,15917.3,76732.14
2600017,Bad Axe Public Schools,Town (remote),4,957,0,4,20,19,53,18.06,13,0,,0,,114,11203000,6748000,5325000,3766000,70.72,11706.37,71056.6
2600018,L'Anse Area Schools,Rural (remote,1,605,0,2,14,19,39,15.51,8,2,302.5,0,,76,7554000,4422000,3297000,2383000,72.28,12485.95,61102.56
2600019,Superior Central School District,Rural (remote,1,335,0,1,9,10,23,14.57,10,0,,0,,47,4283000,2309000,1761000,1200000,68.14,12785.07,52173.91
2600105,Big Jackson School District,Rural (distant),1,25,0,0,2,0,2,12.5,0,0,,0,,3,291000,138000,113000,72000,63.72,11640.0,36000.0
2601103,Detroit Public Schools Community District,Large City,108,49931,155,134,1242,766,3020,16.53,962,125,399.45,2,24965.5,6512,767200000,375272000,333863000,204644000,61.3,15365.2,67762.91
2601890,Adams Township School District,Rural (distant),2,480,0,2,12,12,29,16.55,0,0,,0,,40,6516000,2989000,2047000,1577000,77.04,13575.0,54379.31
2601920,Addison Community Schools,Rural (distant),3,830,0,4,18,19,48,17.29,14,1,830.0,0,,93,9764000,5788000,4194000,3236000,77.16,11763.86,67416.67
2601950,Adrian School District of the City of,Town (distant),8,2837,30,13,60,67,195,14.55,34,2,1418.5,0,,393,39445000,20472000,15772000,11277000,71.5,13903.77,57830.77
2601980,Airport Community Schools,Rural (fringe),8,2631,3,11,43,59,137,19.2,7,3,877.0,1,2631.0,230,36686000,16324000,12306000,9082000,73.8,13943.75,66291.97
2602010,Akron-Fairgrove Schools,Rural (distant),2,312,2,1,7,8,20,15.6,5,0,,0,,40,3778000,2134000,1556000,1163000,74.74,12108.97,58150.0
2602040,Alba Public Schools,Rural (remote,1,123,0,0,3,3,8,15.38,3,0,,0,,18,1501000,812000,634000,448000,70.66,12203.25,56000.0
2602160,Alcona Community Schools,Rural (distant),2,686,0,2,18,15,39,17.59,9,1,686.0,0,,77,8833000,4747000,3624000,2452000,67.66,12876.09,62871.79
2602190,Algonac Community School District,Rural (fringe),5,1474,1,5,27,28,73,20.19,9,1,1474.0,0,,183,16920000,8918000,6682000,4901000,73.35,11478.97,67136.99
2602220,Allegan Public Schools,Town (distant),7,2423,1,10,44,59,132,18.36,31,4,605.75,0,,269,28154000,15701000,12818000,8392000,65.47,11619.48,63575.76
2602520,Allen Park Public Schools,Large Suburb,6,3829,0,14,62,81,192,19.94,45,5,765.8,3,1276.33,380,41573000,25715000,20422000,14684000,71.9,10857.4,76479.17
